base_slug,topic_base,public_title,status,cpt,lesson_type,level_tax,grammar_tax,topic_tax,default_focus,default_variant,post_tags,priority,output_folder
watching-movies-at-home,Ver películas en casa,Spanish Conversation: Ver películas en casa,planned,conversations,conversation,beginner,,Leisure,Ver películas en casa,podcast_style,movies;home;preferences,1,docs/content-system/generated/generated-markdown-posts/conversations/
favorite-coffee,Tu café favorito,Spanish Conversation: Tu café favorito,planned,conversations,conversation,beginner,,Food,Tu café favorito,street_interview,coffee;preferences;interview,2,docs/content-system/generated/generated-markdown-posts/conversations/
asking-for-directions,Pedir direcciones,Spanish Conversation: Pedir direcciones,planned,conversations,conversation,beginner,,Travel,Pedir direcciones,street_interview,directions;city,3,docs/content-system/generated/generated-markdown-posts/conversations/
making-plans,Hacer planes,Spanish Conversation: Hacer planes,planned,conversations,conversation,beginner,,Leisure,Hacer planes,podcast_style,plans;social,4,docs/content-system/generated/generated-markdown-posts/conversations/
at-the-doctor,En el médico,Spanish Conversation: En el médico,planned,conversations,conversation,beginner,,Health,En el médico,podcast_style,doctor;appointment,5,docs/content-system/generated/generated-markdown-posts/conversations/
daily-routine-interview,Tu rutina diaria,Spanish Conversation: Tu rutina diaria,planned,conversations,conversation,beginner,,Daily Life,Tu rutina diaria,street_interview,routine;daily-life;interview,6,docs/content-system/generated/generated-markdown-posts/conversations/
christmas-plans-interview,Qué haces en Navidad,Spanish Conversation: Qué haces en Navidad,planned,conversations,conversation,beginner,,Culture,Qué haces en Navidad,street_interview,Christmas;plans;interview,7,docs/content-system/generated/generated-markdown-posts/conversations/
weekend-plans-interview,Tus planes para el fin de semana,Spanish Conversation: Tus planes para el fin de semana,planned,conversations,conversation,beginner,,Leisure,Tus planes para el fin de semana,street_interview,weekend;plans;interview,8,docs/content-system/generated/generated-markdown-posts/conversations/
favorite-food-interview,Tu comida favorita,Spanish Conversation: Tu comida favorita,planned,conversations,conversation,beginner,,Food,Tu comida favorita,street_interview,food;preferences;interview,9,docs/content-system/generated/generated-markdown-posts/conversations/
city-life-interview,Vivir en la ciudad,Spanish Conversation: Vivir en la ciudad,planned,conversations,conversation,beginner,,Daily Life,Vivir en la ciudad,street_interview,city;daily-life;interview,10,docs/content-system/generated/generated-markdown-posts/conversations/
exercise-interview,Hacer ejercicio,Spanish Conversation: Hacer ejercicio,planned,conversations,conversation,beginner,,Health,Hacer ejercicio,street_interview,exercise;routine;interview,11,docs/content-system/generated/generated-markdown-posts/conversations/
music-interview,La música que escuchas,Spanish Conversation: La música que escuchas,planned,conversations,conversation,beginner,,Leisure,La música que escuchas,street_interview,music;preferences;interview,12,docs/content-system/generated/generated-markdown-posts/conversations/
work-from-home-interview,Trabajar desde casa,Spanish Conversation: Trabajar desde casa,planned,conversations,conversation,beginner,,Work,Trabajar desde casa,street_interview,remote-work;home-office;interview,13,docs/content-system/generated/generated-markdown-posts/conversations/
managing-stress,Manejar el estrés,Spanish Conversation: Manejar el estrés,planned,conversations,conversation,intermediate,,Health,Manejar el estrés,podcast_style,stress;mental-health;podcast,14,docs/content-system/generated/generated-markdown-posts/conversations/
learning-spanish,Aprender español,Spanish Conversation: Aprender español,planned,conversations,conversation,beginner,,Education,Aprender español,podcast_style,Spanish;learning;podcast,15,docs/content-system/generated/generated-markdown-posts/conversations/
sleep-and-routine,Dormir mejor,Spanish Conversation: Dormir mejor,planned,conversations,conversation,beginner,,Health,Dormir mejor,podcast_style,sleep;routine;podcast,16,docs/content-system/generated/generated-markdown-posts/conversations/
going-to-the-cinema,Ir al cine,Spanish Conversation: Ir al cine,planned,conversations,conversation,beginner,,Leisure,Ir al cine,podcast_style,cinema;movies;podcast,17,docs/content-system/generated/generated-markdown-posts/conversations/
going-to-a-concert,Ir a un concierto,Spanish Conversation: Ir a un concierto,planned,conversations,conversation,beginner,,Leisure,Ir a un concierto,podcast_style,concert;music;podcast,18,docs/content-system/generated/generated-markdown-posts/conversations/
healthy-habits,Hábitos saludables,Spanish Conversation: Hábitos saludables,planned,conversations,conversation,intermediate,,Health,Hábitos saludables,podcast_style,habits;health;podcast,19,docs/content-system/generated/generated-markdown-posts/conversations/
moving-to-a-new-city,Mudarse a una ciudad nueva,Spanish Conversation: Mudarse a una ciudad nueva,planned,conversations,conversation,intermediate,,Daily Life,Mudarse a una ciudad nueva,podcast_style,city;moving;podcast,20,docs/content-system/generated/generated-markdown-posts/conversations/
technology-and-routine,La tecnología en la vida diaria,Spanish Conversation: La tecnología en la vida diaria,planned,conversations,conversation,intermediate,,Daily Life,La tecnología en la vida diaria,podcast_style,technology;routine;podcast,21,docs/content-system/generated/generated-markdown-posts/conversations/
holidays-and-family,Fiestas y familia,Spanish Conversation: Fiestas y familia,planned,conversations,conversation,beginner,,Culture,Fiestas y familia,podcast_style,holidays;family;podcast,22,docs/content-system/generated/generated-markdown-posts/conversations/
